,Abaxial  (1000ppm Sat),Abaxial (2000ppm Sat),,,Abaxial (1000ppm 10ml),Abaxial (2000ppm 10ml),,Adaxial  (1000ppm Sat),Adaxial  (2000ppm Sat),,,Adaxial  (1000ppm 10ml),Adaxial  (2000ppm 10ml),,,,,,
,106.992,129.282,,,213.984,102.534,,102.534,187.236,,,263.022,66.87,,,,,,
,120.366,169.404,,,240.732,89.16,,111.45,182.778,,,347.724,75.786,,,,,,
,133.74,57.954,,,222.9,115.908,,106.992,142.656,,,182.778,80.244,,,,,,
,98.076,89.16,,,156.03,115.908,,129.282,156.03,,,343.266,75.786,,,,,,
,102.534,71.328,,,178.32,84.702,,138.198,160.488,,,378.93,62.412,,,,,,
,120.366,187.236,,,156.03,75.786,,129.282,213.984,,,320.976,89.16,,,,,,
,115.908,133.74,,,191.694,84.702,,129.282,209.526,,,303.144,75.786,,,,,,
,142.656,106.992,,,178.32,164.946,,156.03,142.656,,,294.228,66.87,,,,,,
,106.992,115.908,,,285.312,213.984,,164.946,160.488,,,289.77,133.74,,,,,,
,151.572,93.618,,,182.778,147.114,,160.488,120.366,,,258.564,111.45,,,,,,
,138.198,89.16,,,245.19,102.534,,182.778,120.366,,,370.014,93.618,,,,,,
,124.824,75.786,,,245.19,75.786,,191.694,98.076,,,276.396,89.16,,,,,,
,133.74,89.16,,,254.106,285.312,,182.778,75.786,,,57.954,102.534,,,,,,
,120.366,120.366,,,276.396,218.442,,205.068,111.45,,,169.404,98.076,,,,,,
,138.198,84.702,,,218.442,173.862,,227.358,111.45,,,138.198,75.786,,,,,,
,147.114,106.992,,,298.686,147.114,,209.526,129.282,,,169.404,106.992,,,,,,
,129.282,98.076,,,245.19,160.488,,218.442,142.656,,,156.03,71.328,,,,,,
,111.45,53.496,,,240.732,124.824,,240.732,142.656,,,138.198,80.244,,,,,,
,147.114,66.87,,,236.274,142.656,,182.778,151.572,,,151.572,66.87,,,,,,
,151.572,57.954,,,222.9,129.282,,173.862,133.74,,,102.534,93.618,,,,,,
,133.74,62.412,,,209.526,169.404,,200.61,129.282,,,98.076,71.328,,,,,,
,138.198,106.992,,,231.816,156.03,,151.572,120.366,,,164.946,102.534,,,,,,
,151.572,120.366,,,236.274,173.862,,111.45,124.824,,,240.732,89.16,,,,,,
,156.03,133.74,,,245.19,196.152,,138.198,98.076,,,271.938,133.74,,,,,,
